,group
-9099960067561012003,10
-9099266952536585454,11
-9099079396602537376,8
-9099020198116946276,6
-9097747613312563754,11
-9097034653448679048,9
-9096643543443800046,9
-9095328961082954879,7
-9093521948338891267,1
-9091167162131305309,2
-9090134575924711687,11
-9089483344433000466,0
-9089086441056502419,10
-9087906272753688848,7
-9086124425935463138,11
-9086090884397998442,9
-9085883839502743591,4
-9084459603330511523,6
-9083209731502130989,1
-9082603524390907774,11
-9080896288558473700,2
-9079829975393275981,9
-9078072777038987342,10
-9077932265778048184,10
-9077887198036285845,11
-9073865363144386943,2
-9073778680072759450,10
-9073691973352277406,10
-9073474758218251472,7
-9073407886058867537,7
-9073043421905782689,4
-9072332457196168910,4
-9072092662969210918,3
-9072007142524643185,7
-9066739718735442255,3
-9065883836262337816,10
-9065499242152393701,11
-9064462124688982756,11
-9063086701555824452,3
-9063050641137392948,9
-9061302922157907929,11
-9061013596669128821,10
-9059861675441564092,5
-9058976870986022312,11
-9056466099270832926,7
-9056072777069455298,7
-9055952824006880978,5
-9054700749395691593,5
-9054499711048149669,9
-9054457302185579257,5
-9053654631606385950,9
-9053104100300014541,8
-9052057124812329627,6
-9051999794177347007,0
-9051903700674902592,3
-9051692488935952532,5
-9051072804789579370,4
-9049955329329147264,0
-9049374409730289559,10
-9049040549428969534,3
-9048569852472274459,8
-9047706359521386446,2
-9047564326204993458,9
-9045992881782847730,10
-9045729280689362615,11
-9043757469549686665,4
-9043263980530680018,6
-9042980350102172366,7
-9041133212238696133,3
-9040328040803744389,1
-9039977746848315513,8
-9039298961907090095,10
-9038623594440272552,11
-9038490033483015463,3
-9038481647917111780,5
-9036581639226036355,11
-9036185261165497308,1
-9036136297903911240,11
-9034576147172246797,11
-9032885578656412531,5
-9029896681346557913,6
-9029031879981970389,2
-9028482081949649300,9
-9027901567414334129,9
-9026837627240789411,6
-9026466602628141268,8
-9026317892770450219,11
-9025893097067971431,4
-9024966007172774469,10
-9024928440594155512,10
-9024646837768278604,6
-9024267758504679286,9
-9023600591876027982,8
-9023589610046533587,7
-9023443077946378625,10
-9023340969881671283,11
-9022690039865053804,4
-9021919762378037352,9
-9020040565436273994,5
-9017469512433051838,11
-9016520568121085116,8
-9016203189439526332,4
-9014350292550220116,7
-9013523361805426923,0
-9013012979339190576,10
-9011635270221567031,1
-9011593304288875782,2
-9011368843860200638,9
-9011363199163751729,6
-9010787460625658203,1
-9010083762703456770,11
-9008855154376909760,10
-9007906916293768193,11
-9007130520032303963,10
-9006521758210672337,5
-9006255707176254660,7
-9006215191839323114,0
-9005559252759452541,4
-9005081848992685298,7
-9004496616297939238,5
-9004417528223787238,8
-9004407184336726341,7
-9003947128036237116,9
-9003202516657721840,7
-9003024964574030998,7
-9002991554887640531,10
-8999530063627133171,2
-8997838108653864769,3
-8997809006079791853,5
-8997293247654606610,11
-8996875367734091221,11
-8996196127208529596,7
-8995166723112587710,3
-8994795302459147530,3
-8994276590515059346,1
-8993231040382165910,4
-8992628397316286012,11
-8991982347629763907,5
-8991712122844595868,5
-8991073781547653551,11
-8988906263287804933,9
-8988236739917994437,0
-8986890143942536137,4
-8986855340863129340,0
-8985538397181268594,8
-8984541355413776074,10
-8984539662624543513,11
-8984381866270313718,4
-8983709377077180771,11
-8983542666136091591,10
-8982716826328646198,9
-8982404699956097441,11
-8982366420715998545,7
-8982352756929975216,11
-8982274753206872601,6
-8981768707637313252,11
-8978774210045191973,2
-8976131864492781447,11
-8975029764598519238,6
-8974986767297961608,1
-8973384433241532190,1
-8972513087629079978,11
-8972140861990904384,1
-8972103783009163187,0
-8971346337343942832,7
-8971014817831329805,11
-8969601405186218037,11
-8968592398578707495,7
-8968005226230316730,6
-8967864960526927514,6
-8966633622972684512,1
-8965335561582270637,2
-8964091083507964349,9
-8962888514015133122,7
-8962482402364708255,3
-8961184005750348257,9
-8960953759955157504,10
-8960445537264305967,1
-8959679739567185197,9
-8959367846286895820,11
-8958861370644389191,6
-8958391061069604375,3
-8958035891076350586,9
-8958026329456076341,4
-8956808773099177602,7
-8956355855116876957,3
-8954961065804961706,0
-8954174985131036732,7
-8953659000620340796,0
-8953089540481315696,3
-8952541363097602127,8
-8951776441090610459,11
-8949980901089614849,4
-8948839399627029060,11
-8948604730896689003,7
-8947020273194170017,11
-8946170371863017855,9
-8945872678543264325,4
-8943715402449667448,7
-8942676885877023058,9
-8942595051113006147,9
-8940648450130833384,1
-8940482789995941749,2
-8939747905316946109,11
-8939517005441336791,4
-8939462103755067118,9
-8939094338585711715,10
-8936453850778720751,6
-8935601063523159896,1
-8934401125724794127,3
-8934222697670300361,4
-8933522486089290000,11
-8930871234103924164,2
-8930642401447976045,6
-8930344956501495392,7
-8929872211580645661,11
-8928891762474134416,6
-8927683493366646361,4
-8926408346984341352,11
-8926211772892695918,3
-8925024197212973280,0
-8924864729765930229,7
-8924245943904643478,5
-8923487724537535699,11
-8923263615670715818,5
-8922912282939175700,4
-8921487966474574660,0
-8920035158619912635,4
-8919181071157710577,11
-8919001446788225133,9
-8918740874968725810,7
-8917713171207581412,10
-8917235986002207528,0
-8917201840883756760,2
-8917082994343888003,11
-8916894184536072021,11
-8916551590619494581,10
-8915940879974991588,3
-8915702555611287877,1
-8915597671802094615,10
-8914294911501102343,11
-8913461047765858001,4
-8909761222034417477,9
-8909211451829719355,11
-8908320909371449240,0
-8908062965033932907,11
-8907202230497206945,3
-8907040881085874509,4
-8906889682563706361,11
-8906726022063574557,11
-8905578618032232896,2
-8903567360335207676,2
-8901665875331568163,7
-8901164389292772713,9
-8900783196429911308,10
-8900063314692503273,11
-8899015744609308022,6
-8898506084854342426,11
-8898050314299440536,9
-8897177753557458635,0
-8897002098221859467,10
-8896704548422631755,10
-8896502089768323259,6
-8894310308148730574,9
-8892004110917383868,6
-8891316860822587526,4
-8890599647404223239,4
-8890517966547538715,7
-8889890592643205338,10
-8889764892559893777,9
-8888725245706046151,4
-8887807036126219029,4
-8887147774481730125,0
-8886768683305255724,10
-8886231372355153123,11
-8886013638486813375,9
-8885260196395045946,10
-8884839904423158132,6
-8883568201986071964,11
-8881648886121925358,9
-8881478309599705987,11
-8881453376785504242,8
-8881322218554824298,2
-8880088162105423978,0
-8879972075568967700,9
-8879931371069007233,5
-8879446978327609562,10
-8878683891449905355,10
-8878606963849223933,5
-8878193840826920772,10
-8876558564016415989,1
-8875215276974767268,10
-8875162919694975527,7
-8874573537645963498,10
-8874539119500365967,0
-8873579165548771178,7
-8871571175833047755,7
-8871528848542902708,3
-8870834296005474700,1
-8870725228944591313,4
-8870588187036856063,5
-8870368540648448086,11
-8870167332962142858,8
-8869437072449515609,1
-8869096530337041347,4
-8868728104982196802,10
-8865310564646824401,5
-8865230619992851420,0
-8864869883686099176,3
-8864355021312886745,7
-8864019691449730181,4
-8863956351686735035,11
-8863732923794308930,7
-8863559279918991129,6
-8863197426277987290,11
-8862601248883768302,11
-8862554620848825396,1
-8861397240237281813,9
-8861122574807154622,4
-8860552272166691047,2
-8859789841949643671,10
-8859527139217286355,3
-8858871830144947496,6
-8858526515486318466,8
-8857778784063735621,7
-8857161661499728975,11
-8857070265364590135,2
-8855013348899884209,6
-8853068148951584228,9
-8852755164486122542,10
-8852515990682117076,7
-8852191018022803598,1
-8851808198278168845,8
-8850950587941729313,9
-8850896974406319597,9
-8850845475394433972,6
-8850758260853693448,10
-8847352756160758694,3
-8846842242397210511,7
-8846428103592787827,4
-8845865784500923546,11
-8844706235530060638,8
-8844181243406031148,7
-8842054981224369708,4
-8841778954828649256,8
-8838418809649855137,9
-8837690335209602975,11
-8837647497949995695,10
-8837433484602999418,11
-8837110330960569399,8
-8836874510946116463,8
-8834947007957720525,9
-8834497392288155463,4
-8834133160074124417,9
-8832309627745576047,10
-8832229491608694071,7
-8831093416752024308,4
-8830591573887042520,8
-8830185036331163679,9
-8830092227418251686,7
-8827592426242125436,6
-8825886058124894671,5
-8825851023640251144,10
-8825326766212060010,6
-8825021168407808993,11
-8824479140584278326,5
-8823489781886506549,7
-8823311085735214383,7
-8821953136039061079,3
-8821745636409605558,2
-8821315644463021716,0
-8820748864131020749,7
-8819663526916879076,4
-8819639644429169953,4
-8818491488020910083,11
-8818349806372248277,3
-8817512189424174424,7
-8817076178796927619,9
-8816848223970399214,9
-8815933542111495170,6
-8815567856196588802,0
-8813801566289480611,0
-8813322120453325119,7
-8812658047885724307,11
-8811598757611613715,7
-8810944588588277177,11
-8810677098572112511,10
-8810315790894903509,9
-8809985003986182257,7
-8809407806862110073,9
-8809342555718506434,7
-8809295825051472733,10
-8808776377817703092,6
-8808132407616349440,11
-8807535457253529067,2
-8807052735630781042,5
-8806285456507148665,11
-8805654710820155315,3
-8805578462632128575,6
-8805468404948884459,10
-8804138957870305351,5
-8803587985154108748,7
-8802316604005480852,8
-8802212159954146423,11
-8801664977243727938,11
-8800095656132745183,8
-8799974241787843247,10
-8798991280303388654,1
-8798894394747023419,4
-8798890819368536484,7
-8798345393567262044,4
-8795087527245424684,11
-8793764609497122615,4
-8793551595241909454,10
-8793095361596291297,8
-8792555296284231867,1
-8792380335341380419,3
-8791318312956404318,4
-8791146267734188311,4
-8790436258783000383,10
-8789739104776090434,6
-8789447814928150824,3
-8788603681287179053,10
-8787759144742154093,10
-8786932725714001752,4
-8786229624007510475,8
-8785808288609377058,6
-8785250580011204240,7
-8784472699590155440,9
-8783900032072480426,6
-8783851385933673163,5
-8783624720347293989,11
-8782714927354835665,11
-8781032290642852900,3
-8779622610843070697,11
-8779428157098461257,2
-8779082963431723273,5
-8778757166873552484,6
-8778526176668889965,11
-8778262627556792908,7
-8777268816216242215,10
-8776372403973197325,11
-8775869361605414916,10
-8775489672599541709,11
-8774475287363618414,2
-8773771540617896237,9
-8773591723204677425,10
-8773381416821430111,7
-8773114999444757011,4
-8771755865278605228,9
-8769062425317786820,10
-8768763414768093881,11
-8765522053780048018,10
-8765329793245217489,3
-8763697934413004929,10
-8763528783150222132,1
-8763499896085765485,2
-8763359522680232619,3
-8762940477551939876,0
-8760410795689239195,11
-8759806376311215380,10
-8757107818104059643,3
-8756856298889458166,5
-8755975600318132639,6
-8755360321217593069,9
-8755157563619250905,4
-8754923257059791519,10
-8754843952055811186,5
-8754239427419479974,10
-8752790417607295280,8
-8752079585505607600,3
-8750365830993494206,6
-8748399916550723521,0
-8748137292049786640,8
-8747575575843882335,9
-8745142145795159075,7
-8744969677550343929,4
-8744527543418585034,4
-8744445395984602463,11
-8744095133307343795,0
-8743615992992829024,5
-8742715434822943881,6
-8741798426907867106,6
-8741652041341460127,11
-8740739276825048260,9
-8740159811251460690,8
-8739833855321283240,1
-8739296758054568896,5
-8737566806252298626,11
-8737356966559391525,7
-8736225111063189156,7
-8735722598257745233,7
-8735720924623796290,4
-8735470501662413337,0
-8735262674962638839,1
-8734007879304620638,8
-8730865728458138891,11
-8730307490994656907,5
-8729808929347730608,8
-8728246783814891637,6
-8727886131585592466,7
-8727487477691636781,8
-8726733746650241932,11
-8725135028561362186,11
-8718740598043540578,1
-8718447129064429638,11
-8718128198993547784,4
-8716664443826531946,11
-8712445077380078817,6
-8712082170268097424,1
-8710948909468523868,9
-8709787090971295503,6
-8709367149377745159,10
-8708570969129914940,8
-8707110359416344626,5
-8706288933198289540,10
-8705968198316309774,5
-8705128918819769812,1
-8704177118633236038,7
-8703399398600890706,4
-8701351449197526530,5
-8700919126757489332,7
-8700408462780876519,11
-8700386357584360502,11
-8696199783817428420,7
-8695560153948577736,10
-8695254204079090131,5
-8694161393433713869,0
-8694070057162702025,4
-8693631930247964633,8
-8691841193582852771,10
-8690751061394472455,3
-8688947555036691142,7
-8688870843246654685,5
-8687517552913597683,4
-8687184140727148948,5
-8686980665310410150,11
-8686818469443654610,9
-8686507412565143385,10
-8686195388064222327,7
-8685661683173390579,9
-8685506478721222188,10
-8684557922443094942,7
-8684382360440006176,5
-8684188853484047604,6
-8683600556219660355,3
-8682839388877719962,9
-8681977036672429659,10
-8681748250668342973,1
-8680478570900061892,0
-8680475959139734784,10
-8680079040125345901,0
-8679231312859486934,8
-8677393408439191444,7
-8677364570947678294,11
-8676244203426339853,7
-8675200757687437082,6
-8674123234026086872,3
-8674122984613206969,7
-8673748899925167213,10
-8673488737262462015,3
-8673430634736222054,6
-8673186272347802118,11
-8672858022601068604,4
-8672286781298006637,3
-8671498412077945061,3
-8671105202682866711,10
-8670897254402372614,9
-8669553091125516893,7
-8668435756528084398,7
-8667995220611348131,1
-8665842985387874656,7
-8664852491951360820,3
-8664747945483213848,7
-8662000544566942657,7
-8660905300048853580,1
-8660734983386592545,3
-8659525025467297218,3
-8658253277334372316,7
-8657137191584682458,6
-8655756063868276440,10
-8655175116001955387,6
-8654495758535574249,7
-8654437491139564943,11
-8653856161628790035,7
-8653748512040280849,6
-8653567408940349681,4
-8649941211508968787,11
-8649717798505143069,4
-8648645898588084794,4
-8648548302223737972,8
-8648296780626967001,11
-8648161022526762007,11
-8648070044317879633,9
-8648004512021343324,9
-8647679566219018466,7
-8647238531873114531,2
-8646854286753100251,7
-8646229784190295092,9
-8645957134447143755,9
-8643069289560656826,7
-8641586253794777679,7
-8641523660224469914,11
-8641335940954313916,9
-8640546418716486379,4
-8640137724042537581,9
-8640078209044694509,1
-8639858887452900639,5
-8639380657548337929,9
-8637732931218583998,8
-8635592876701356344,3
-8632896479196947027,9
-8632831146764307539,3
-8632498737793140197,10
-8630301921846095669,9
-8629173342389681596,11
-8628122401019318085,7
-8627529094569161314,3
-8627371758905808699,10
-8626255238350395241,11
-8625942454701242816,1
-8625392267392656937,10
-8623853802485850565,8
-8623808972586310630,9
-8623214666825278797,5
-8622930726251099522,5
-8619523501481004899,3
-8618166219196104809,1
-8618153438921827271,11
-8617846518879813139,8
-8616708320294665353,10
-8616562828474379739,11
-8616146934145098492,9
-8616125306271115643,10
-8611988641245958534,7
-8611832576264673404,7
-8610774192663158083,6
-8610435930243128159,0
-8610234780667669809,7
-8610005888307299514,11
-8609987852497337258,0
-8609733064109149777,2
-8609450529735575753,0
-8609315622020787349,0
-8608886046487824704,7
-8607233950266591451,11
-8607164146358691545,3
-8607084646097623781,0
-8606963353220289483,11
-8605935504577608982,7
-8605831892007161560,11
-8605234574252177848,5
-8605080354289190614,10
-8604914379808588248,1
-8604662774549943225,10
-8604324115386193037,2
-8604051256398591968,9
-8602521116049272708,9
-8601448972184444000,4
-8601403561408995654,8
-8601351087740611896,7
-8601232091637467202,11
-8599788021809675847,11
-8599733890918814220,11
-8599383878807045594,4
-8599058275503887484,11
-8598921802016822459,0
-8598812440266759354,7
-8598598816143489901,3
-8595350621942526784,3
-8594672347328405244,7
-8594042313511750762,9
-8592972172976633259,8
-8590956797945257098,9
-8590105612498154906,10
-8588321404722684329,6
-8587610512543135636,2
-8586509112414570048,7
-8585819139228391502,1
-8585799136464655303,11
-8584986353759211559,9
-8584975363996210662,9
-8584449199257750380,6
-8583782175092758740,7
-8583072247766802416,4
-8582432826296376066,4
-8580499855440491255,3
-8579847915776404759,3
-8579738459946122788,10
-8579365787148893440,10
-8579276548744669946,0
-8578352318070038847,11
-8578314071758892384,7
-8577876217493424987,7
-8577080855497815549,5
-8576679128232173396,0
-8576486224554930010,2
-8576019150536309701,8
-8575318359002876590,0
-8574523544014538651,9
-8574350508377071502,0
-8573527463703396974,8
-8571367496258244945,10
-8567982055258471777,4
-8567851468359267519,6
-8567726597533065261,7
-8567096829519723954,4
-8563935019200255150,1
-8563680988239147812,7
-8563629802913555807,10
-8562311995574262654,8
-8561933307104367822,10
-8559798643764032514,10
-8557418256364463823,4
-8555941264709232680,0
-8555586000677331421,8
-8555514916080103708,6
-8555397878468451028,0
-8554257273027498836,9
-8552278802939132943,10
-8551841736749653450,10
-8550177067493995612,0
-8550116984671656840,3
-8549486473279605026,0
-8549024429592561663,6
-8548626011730513103,11
-8547653731154547300,2
-8545441401075728560,10
-8545326899867544679,4
-8545184470818576379,11
-8544905747922375062,9
-8544534804052944700,3
-8544326501277029980,10
-8542506268600051476,0
-8542453227605286395,6
-8541019923889217138,5
-8538333663613303418,11
-8537986049457432446,7
-8537542511873211345,3
-8537406599487702190,11
-8537086276143756014,1
-8537071843704763838,5
-8536979210429233393,4
-8535807774701344439,3
-8534298559785889037,7
-8533363985617253036,4
-8532926019621136946,10
-8532200769734003959,7
-8532197610442376485,8
-8531620480812312028,6
-8530352183215408878,6
-8529843450063722724,11
-8529359543457542865,4
-8529263745649599446,2
-8529139059948957160,8
-8528394326441418921,6
-8527945422659400691,7
-8527382639776220824,3
-8526386245397858859,1
-8525214834679522155,1
-8524960740422846795,7
-8524520775043227731,0
-8524462001039508574,4
-8521173895889184252,11
-8518502896915597612,10
-8517919127481366703,8
-8517854158496965893,11
-8517686360388061376,7
-8517301287380015038,10
-8516834539814140543,11
-8516723307766352993,10
-8514893938404519939,8
-8514788858460145125,7
-8513395499041080505,5
-8511370471119417498,8
-8511280199040615155,10
-8509951936637565132,7
-8509137396461762880,0
-8508897800040392488,11
-8508063083301453251,2
-8507419484224291080,6
-8506358959403600483,10
-8505916573004807437,6
-8505422163126095487,11
-8504879428986711207,5
-8504705025013497084,10
-8500915890999481660,5
-8500750876542023717,9
-8500574938083854667,11
-8499903549442180600,7
-8499290930200624721,9
-8497991295549635291,3
-8496313154221355700,11
-8494349511781250643,10
-8491904554421227640,10
-8491785752637389589,7
-8491235757491797161,5
-8488067985183720072,4
-8487328774089016054,4
-8485486012986553301,9
-8485411087001622166,2
-8485334017476311028,11
-8485003585845041074,10
-8482705264287218465,2
-8482331957185212866,4
-8481072460755388192,9
-8480830654134927996,6
-8480718447707947077,3
-8480612723734037982,11
-8480491764952482141,4
-8479657745295088782,1
-8478765827760456683,11
-8478417775657613518,1
-8477784822589278866,0
-8477737311995933421,7
-8476128408968291156,2
-8475861076685378068,9
-8475614001582282187,11
-8474112585672100103,5
-8473479441305496340,4
-8471841105903396532,0
-8471463821663086571,11
-8471325013826026159,9
-8471076543896155814,0
-8471054182431559078,4
-8470598042595754892,6
-8469609588260229483,4
-8468781546500343986,6
-8468252334307275584,7
-8467903150068667042,10
-8467820458668511930,6
-8464896532250596789,7
-8462977293562794694,9
-8461984668113409297,8
-8458894491194603748,10
-8455790152922017229,11
-8455639999412361373,10
-8454932398034510175,0
-8454771594966218929,10
-8454351202534985235,10
-8453742119537288070,11
-8453134016534814323,7
-8452478719587235184,9
-8451478611974952809,10
-8451161220296458163,9
-8450363755684923471,6
-8449798452687146653,2
-8448840466355913965,10
-8448251834222626367,0
-8448086333833766953,10
-8444760144209615253,3
-8444032399793380935,10
-8440952851110393862,9
-8440721454801311542,11
-8440630265709278361,8
-8439913974656798130,11
-8436537820621867648,7
-8435430861752962419,6
-8435065095387958625,7
-8434937729320836714,6
-8434713546862164717,4
-8432750053310927519,11
-8432488148653411436,0
-8432290048346263952,10
-8430899495802126450,2
-8430732446822855887,11
-8430317516475702898,4
-8429539821711595368,0
-8429379600969465650,5
-8429260851616359730,5
-8429196117623801426,10
-8429135336344783469,0
-8428853393823283356,8
-8428258684770396573,7
-8428067374508951274,8
-8427317997901956475,11
-8426996949299283537,3
-8426834882589918052,8
-8426828988271256996,5
-8423229336196371105,5
-8421922653233517990,8
-8421826674292478768,9
-8420028542724590328,11
-8417912014219389876,9
-8417909748264594049,3
-8416158623902953237,3
-8415131104054649310,9
-8415130508563035031,9
-8414493380278013374,4
-8413945933426497914,8
-8413658880310402705,11
-8413624744852600356,2
-8412643697165833052,7
-8412014160916036357,10
-8411509523644490499,1
-8411267487932271383,10
-8411155279606035279,3
-8410664755819921358,11
-8410641794428009678,11
-8408713932507435764,4
-8407606867188935469,3
-8406485687263056972,7
-8406077343168461691,5
-8405214478765229919,10
-8403964128924632251,4
-8403130299077205349,11
-8402933489768991067,4
-8401688106626026874,11
-8400680425554012675,8
-8400574174524138992,9
-8399950801506065870,7
-8399845814997642113,10
-8399636225963180291,7
-8399321111200837451,7
-8399200018323482307,8
-8398317070825713222,11
-8397966325970790536,10
-8397927529026584879,9
-8397256519605905783,8
-8396990124102864301,5
-8395258072524399140,4
-8394620485711180718,2
-8392768189424701241,9
-8391558415690973134,9
-8391136660816121087,7
-8390984583096871730,9
-8390528605652776303,0
-8389765333308859481,10
-8388850687532084082,3
-8388630307706568525,11
-8387565800109152678,11
-8386661297610068668,10
-8386469254168045973,9
-8385563412194178529,8
-8384760667389982203,10
-8382476895154120107,10
-8382006046590136079,11
-8381874657783063777,10
-8380320801564693860,4
-8379430671544473185,8
-8378834356271315530,10
-8378704684140683044,10
-8376820842095294726,4
-8375018069988037384,9
-8374303025330777265,5
-8373775120252184104,2
-8373166043243248407,11
-8372446111800699583,10
-8371444428465225301,10
-8369554081907970517,10
-8369459480651126773,11
-8369037431582824563,0
-8368709434366126335,10
-8368618057354517770,11
-8367857271888126570,11
-8367620592223467526,0
-8365968811472311530,10
-8365442983660836230,8
-8365094294784389413,5
-8361796801002522756,6
-8360602133028322168,9
-8358703198824267984,11
-8357181837122863842,7
-8354250679043442731,7
-8353633601469212866,7
-8352606347863185857,7
-8352183645084568500,9
-8349623221490733707,6
-8349004222727927282,11
-8347088179421370484,0
-8347048438655592064,10
-8346399363610915828,7
-8345274263736281074,5
-8345111523099601124,1
-8345021609468277416,11
-8344621426513703033,2
-8343106416205055124,6
-8343081500277081491,7
-8342792798205947579,2
-8342246469911148681,11
-8340828859668515885,10
-8340539519427340705,7
-8340098378141155823,8
-8339966551196561219,10
-8338715556781995641,10
-8336892249288703183,11
-8335940766734689444,11
-8334566785815095188,4
-8333689748421123743,7
-8332557417433970034,5
-8330819732504743296,5
-8330768594253487769,3
-8329033577154351657,5
-8328909341264494486,11
-8326938081750174086,5
-8326795566055360200,1
-8324745206935894278,9
-8324527123679106230,7
-8323972581689757432,11
-8322852716893620201,8
-8322119955275642020,9
-8321908479986132760,5
-8321594374077799789,8
-8321355257761061572,4
-8320233521923968941,2
-8319263843844783308,1
-8319083348864700680,11
-8318939914450418416,10
-8318863315042254046,3
-8318201297884514700,2
-8317619256917015298,7
-8316064722495731639,7
-8314392160977394126,5
-8314251515469441293,6
-8313023600775166093,10
-8312442462097714254,3
-8310015195539444492,5
-8309820402004676798,10
-8309521033676465199,3
-8309175053894592557,8
-8309150638608488978,6
-8308855320293590910,0
-8308623801383300796,6
-8306796565967918369,4
-8305484070001360894,10
-8304882083777791601,8
-8304402565778213333,11
-8304122747977707239,7
-8302178691154814067,0
-8302001562494008678,2
-8301885848085398624,0
-8301831445747792074,8
-8301650690669786822,11
-8301240168600926961,6
-8300989452721725791,0
-8300682027918592777,10
-8300573047674278069,7
-8300298884909497626,6
-8299634280717427374,11
-8298894765634993743,7
-8297467375165356813,3
-8296813404897347929,2
-8295503311185390259,11
-8295222463446743926,11
-8293799387572099333,3
-8292173949994693737,0
-8291987701493342453,9
-8291181727019154087,0
-8291163606164727548,9
-8291031721825406504,0
-8290009579228585757,6
-8288726028568984050,7
-8288591004196636386,4
-8288107429764907074,6
-8286584469185877544,2
-8285746713454474503,10
-8284102306574864012,10
-8283967910318754940,0
-8283943097630928710,5
-8283885464900434214,10
-8283831035232336737,2
-8283117190944282465,10
-8282411334911930099,11
-8279467529862939698,6
-8277787744748851854,10
-8275146541906902276,0
-8273967624508163768,4
-8273040339334491550,10
-8269233040446639537,11
-8268393243575905822,1
-8267698091849464641,7
-8267021121336799102,3
-8266060474638462606,10
-8265384200306226835,9
-8264412248895169074,6
-8264294442883284326,6
-8263887049499053297,11
-8263208485823447044,8
-8260683887967679142,10
-8260468264341481384,10
-8258637437407986570,1
-8258568461283136146,11
-8256469192628429440,4
-8256371947603165917,1
-8255899691372264369,5
-8254559087427602265,4
-8254450270568230867,8
-8254125094305069701,6
-8253598202904686280,10
-8252179115584647094,2
-8251164390418157258,9
-8249526588670832178,11
-8248313027338435677,10
-8246059292821443986,9
-8245326936262484964,2
-8243235552366252515,3
-8242737709506735589,2
-8241952332260662574,6
-8241595951386189844,1
-8241517487191114306,10
-8241422402621337986,11
-8240927305918170702,10
-8240852966411626650,10
-8239931135553318822,2
-8238018502287481038,5
-8237872786744190793,10
-8237639017401810032,10
-8236029394298854683,1
-8235673055412356862,0
-8234804340714405722,4
-8234501935299428186,11
-8234463151245930508,4
-8234087272072324506,8
-8233783927591594435,10
-8233000477600508149,10
-8230593223215547155,11
-8230348034024096540,10
-8230049923515469713,9
-8229941283107646843,2
-8229437799755836019,0
-8228157545773264552,7
-8227862082209135306,11
-8227754105013228389,0
-8227304686507135126,0
-8225142007900434755,10
-8224953330746523978,9
-8223052020390621452,3
